time,AWS,CHIRPS,WRF
01.09.2000,0,0,0
02.09.2000,0,0,0.2872658
03.09.2000,0,0,1.0517685
04.09.2000,0,0,0.708477
05.09.2000,0,0,0.74670947
06.09.2000,0,1.4542795,1.4370406
07.09.2000,0,6.5909467,0.5201503
08.09.2000,0,0.569707,0.36865637
09.09.2000,0,0.12249529,0.34424552
10.09.2000,0,0,0.8357629
11.09.2000,0,0.13737148,0.24316764
12.09.2000,0,0.14336221,2.1169853
13.09.2000,0.5,0.033649854,0.24739148
14.09.2000,0,0,0
15.09.2000,0,0,1.3381183
16.09.2000,0,0.20916209,2.3894572
17.09.2000,0,0,0.16853191
18.09.2000,0,0,0.21085088
19.09.2000,0,0,0.4568748
20.09.2000,1.9,0.054750822,1.0908738
21.09.2000,6.2,1.8346907,3.167237
22.09.2000,0.25,2.7465458,2.0509992
23.09.2000,1,0.9813335,2.1251295
24.09.2000,0.5,4.064955,2.9031558
25.09.2000,0,1.9199408,0.031845994
26.09.2000,2,0.26491308,0.061342
27.09.2000,5.8,0,0.86008847
28.09.2000,4.65,4.1604943,1.5242766
29.09.2000,1.75,5.2380447,0.67409945
30.09.2000,0,0,0.17089836
01.10.2000,0,0,0.06665034
02.10.2000,0,0,0
03.10.2000,1.1,0,0.5136017
04.10.2000,1.3,1.5835843,0.884626
05.10.2000,3.85,2.943308,0.2570507
06.10.2000,5.3,2.7345216,1.5718946
07.10.2000,2,8.353757,5.6130376
08.10.2000,1.7,2.208108,4.5864825
09.10.2000,0,0.6945318,9.047779
10.10.2000,0,1.511124,0.81118447
11.10.2000,1.6,0,2.7809384
12.10.2000,3.45,0.023159899,1.1056223
13.10.2000,0.5,0.023159899,2.303809
14.10.2000,1.85,0,2.198944
15.10.2000,0,0.023619931,3.0672345
16.10.2000,0,1.4402789,4.3565273
17.10.2000,0,2.159245,5.620298
18.10.2000,1.85,0,0.20787787
19.10.2000,2,0,0.68808186
20.10.2000,0.85,0.4693522,4.7467084
21.10.2000,1.1,0.21908885,1.4969244
22.10.2000,0,0,0.6463729
23.10.2000,0.7,0.42326152,0.43031493
24.10.2000,0,2.9635346,0.3914839
25.10.2000,0,0.87789375,0.26621673
26.10.2000,0,0.31029627,0
27.10.2000,0,0,0
28.10.2000,0,3.1210687,0
29.10.2000,0,1.0096684,0.004361505
30.10.2000,0,0.16395324,0.9378749
31.10.2000,0,0.15756254,0.34407684
01.11.2000,0,0,0.24750493
02.11.2000,0,0,0.08394983
03.11.2000,0,0,0.003156872
04.11.2000,0,0,0
05.11.2000,0,0,0
06.11.2000,0,0,0
07.11.2000,0,0,0
08.11.2000,0,0,0
09.11.2000,0,0,0
10.11.2000,0,0,0
11.11.2000,0,0,0
12.11.2000,0,0,0
13.11.2000,0,0.0842502,0
14.11.2000,0,0,0
15.11.2000,0,0.026685499,0
16.11.2000,0,5.599489,3.8019748
17.11.2000,2.733333333,0.05984638,1.894887
18.11.2000,0.6,0,2.6706626
19.11.2000,0,0,3.2563422
20.11.2000,0,0,3.5617893
21.11.2000,0,0.50015795,4.5728526
22.11.2000,2.1,4.1491246,7.484582
23.11.2000,0.333333333,0.7661861,2.4870677
24.11.2000,3.733333333,1.4737353,1.7713345
25.11.2000,0.633333333,4.0014563,1.8380115
26.11.2000,2.3,2.096161,6.2224045
27.11.2000,5.866666667,9.083534,9.320128
28.11.2000,2.7,9.439276,4.7275333
29.11.2000,4.866666667,1.3591174,2.108913
30.11.2000,4.4,2.341692,4.486765
01.12.2000,9.333333333,4.2779417,7.924981
02.12.2000,6.2,3.380997,10.988572
03.12.2000,7.8,8.712645,6.3191457
04.12.2000,5.2,5.545858,4.06031
05.12.2000,1.933333333,1.5881906,1.724476
06.12.2000,1.933333333,1.088878,4.157392
07.12.2000,6.133333333,2.3139868,12.481112
08.12.2000,4.666666667,12.98974,3.8815243
09.12.2000,2.3,0.8493847,2.4955153
10.12.2000,8.5,1.2845172,11.061931
11.12.2000,2,0,0.64165574
12.12.2000,1.6,0,0.14403953
13.12.2000,0.866666667,0,0.006332177
14.12.2000,0.733333333,0,0.19460213
15.12.2000,0.8,0,0.1661075
16.12.2000,1.733333333,0,2.5003588
17.12.2000,8.8,0.28763282,7.7161956
18.12.2000,10.6,4.168245,5.5247655
19.12.2000,11,8.617761,3.7705448
20.12.2000,9.033333333,10.072576,5.132107
21.12.2000,1.233333333,0,1.4628863
22.12.2000,0.4,0,1.3609039
23.12.2000,1,0.032228097,0.121723756
24.12.2000,0,0.035220176,1.7496032
25.12.2000,1.333333333,0.3265907,0.5079884
26.12.2000,0.433333333,4.3016148,3.1295438
27.12.2000,14.56666667,10.319183,8.843141
28.12.2000,10.66666667,2.5815492,5.5672975
29.12.2000,14.6,12.1576395,9.922644
30.12.2000,1.433333333,7.535787,10.7600565
31.12.2000,1.1,3.0438006,5.9031553
01.01.2001,5.1,1.9777635,9.52662
02.01.2001,2.6,2.9561377,2.2164376
03.01.2001,8.85,2.3125162,4.57912
04.01.2001,5.8,7.469674,8.842342
05.01.2001,6.4,15.13199,3.7555807
06.01.2001,10.15,10.511494,12.307135
07.01.2001,7.8,2.8614697,8.380909
08.01.2001,2.85,5.613469,7.6379333
09.01.2001,2.45,2.7676349,2.1248717
10.01.2001,1.5,5.536587,0.16568127
