,Gurgiser,Climandes,Garcia,Bucket,Liebmann,CB
1981,260,260,278,297,222,230
1982,271,271,261,306,220,234
1983,254,254,271,306,212,249
1984,304,304,252,285,233,237
1985,274,274,261,293,234,231
1986,249,249,267,295,214,250
1987,271,271,286,295,237,248
1988,249,249,266,304,231,236
1989,-9999,-9999,271,-9999,216,250
1990,251,251,269,284,231,249
1991,275,275,265,-9999,246,250
1992,272,272,288,309,234,236
1993,271,271,286,316,219,238
1994,264,264,279,301,226,232
1995,264,264,279,303,229,230
1996,265,265,216,256,195,255
1997,274,274,262,301,222,228
1998,280,280,267,311,230,247
1999,263,263,276,313,243,248
2000,264,264,281,303,219,232
2001,273,273,266,301,231,232
2002,270,270,268,299,228,234
2003,284,284,268,295,225,231
2004,264,264,281,302,213,246
2005,282,282,269,303,230,230
2006,274,274,271,310,223,233
2007,274,274,261,300,228,228
2008,259,259,262,298,225,227
2009,275,275,287,303,218,245
2010,278,278,270,308,242,244
2011,268,268,262,309,234,238
2012,280,280,265,303,222,226
2013,263,263,265,309,246,251
2014,272,272,266,310,244,250
2015,282,282,286,300,223,240
2016,283,283,276,312,222,237
2017,270,270,280,306,225,230
