,Gurgiser,Climandes,Garcia,Bucket,Liebmann,CB
1981,258,258,270,283,221,226
1982,302,302,305,322,245,249
1983,321,321,294,328,252,261
1984,270,270,287,316,232,246
1985,268,268,259,296,244,238
1986,252,252,265,293,228,242
1987,270,270,289,315,236,245
1988,279,279,262,295,231,235
1989,-9999,-9999,270,70,228,259
1990,256,256,266,293,231,249
1991,263,250,264,297,249,244
1992,276,276,287,309,242,245
1993,312,312,289,318,218,253
1994,267,267,277,304,228,243
1995,269,269,282,301,230,233
1996,257,257,211,288,241,251
1997,276,276,287,307,225,247
1998,299,299,267,306,212,253
1999,282,282,274,305,212,251
2000,272,272,280,303,210,262
2001,276,276,260,294,235,240
2002,271,271,281,300,227,239
2003,271,271,295,307,225,249
2004,266,266,273,301,213,250
2005,267,267,271,298,221,228
2006,274,274,266,296,223,229
2007,273,273,268,301,227,242
2008,286,286,291,315,223,231
2009,276,276,260,301,221,224
2010,248,248,260,291,241,239
2011,268,268,280,300,242,245
2012,270,270,282,311,230,240
2013,260,260,276,308,250,258
2014,273,273,286,313,247,263
2015,283,283,296,298,238,239
2016,276,276,296,314,222,250
2017,278,278,289,310,223,240
