,Gurgiser,Climandes,Garcia,FP,JD,Bucket,Liebmann,CB
1981,38,38,44,33,36,71,40,49
1982,98,38,37,37,42,75,53,154
1983,63,70,82,37,41,97,85,116
1984,44,45,45,36,40,84,44,140
1985,89,101,88,97,100,126,88,108
1986,104,100,110,97,107,123,113,97
1987,41,61,67,60,67,98,69,68
1988,83,47,84,51,48,90,86,112
1989,-9999,25,21,121,30,43,21,156
1990,31,31,38,26,30,61,30,156
1991,-9999,52,33,48,49,86,30,170
1992,106,25,23,115,25,151,139,138
1993,20,20,22,11,20,55,54,84
1994,104,63,62,59,53,92,62,110
1995,105,47,56,59,46,75,58,108
1996,50,27,34,80,30,109,35,103
1997,38,39,81,38,45,85,83,85
1998,31,29,40,28,31,55,102,122
1999,77,21,24,26,18,81,76,120
2000,76,76,84,71,74,97,81,89
2001,49,52,12,42,45,72,51,143
2002,41,41,47,35,38,60,48,35
2003,57,53,54,52,51,97,83,73
2004,45,37,45,41,39,61,46,42
2005,78,94,77,92,95,115,100,122
2006,46,46,56,43,46,79,51,84
2007,40,39,47,61,40,67,46,120
2008,31,26,31,23,22,64,119,119
2009,38,38,44,34,37,62,44,45
2010,38,38,44,31,40,72,44,92
2011,39,41,42,34,37,79,43,126
2012,39,41,42,34,35,67,45,143
2013,44,44,43,48,44,66,43,138
2014,52,52,50,50,49,74,53,132
2015,57,57,64,54,57,92,139,136
2016,85,89,39,88,104,118,108,130
2017,47,51,49,42,45,84,80,102
