,Gurgiser,Climandes,Garcia,FP,JD,Bucket,Liebmann,CB
1981,36,36,43,32,40,63,36,40
1982,21,21,30,20,43,53,38,171
1983,26,29,93,63,92,40,139,131
1984,68,75,37,82,42,47,75,153
1985,103,97,74,97,72,110,104,120
1986,94,93,98,65,59,113,96,85
1987,57,57,64,57,63,83,64,70
1988,21,26,36,23,32,56,97,113
1989,-9999,-9999,127,21,37,44,23,58
1990,31,36,42,32,39,55,35,39
1991,168,108,52,28,49,61,30,169
1992,106,104,106,107,119,123,105,136
1993,15,18,29,16,48,52,45,89
1994,97,40,43,38,60,67,60,139
1995,104,104,58,41,55,74,108,92
1996,124,41,48,100,48,116,23,103
1997,39,41,50,47,49,79,77,66
1998,28,29,101,37,45,72,131,124
1999,75,73,31,53,77,62,75,107
2000,76,76,80,72,81,92,75,86
2001,33,47,56,47,54,66,51,140
2002,29,34,38,30,54,65,37,55
2003,57,62,40,62,89,101,84,85
2004,38,43,48,39,46,53,45,150
2005,93,94,65,100,99,105,98,140
2006,49,49,51,44,50,88,51,78
2007,35,36,36,39,53,75,45,113
2008,43,47,56,54,53,91,108,118
2009,37,38,47,46,44,63,43,82
2010,65,65,45,40,43,97,92,92
2011,51,54,36,52,73,97,72,81
2012,36,37,46,38,47,68,46,134
2013,30,34,43,54,52,70,79,115
2014,53,61,70,60,86,93,88,85
2015,32,34,53,40,65,71,33,136
2016,83,83,92,83,88,110,88,104
2017,46,75,81,75,89,96,80,82
