,Gurgiser_avg_45,Climandes_avg_45,Garcia_avg_45,FP_avg_45,JD_avg_45,Bucket_avg_45,Liebmann_avg_45,CookBuckley_avg_45,Gurgiser_std_45,Climandes_std_45,Garcia_std_45,FP_std_45,JD_std_45,Bucket_std_45,Liebmann_std_45,CookBuckley_std_45,Gurgiser_avg_85,Climandes_avg_85,Garcia_avg_85,FP_avg_85,JD_avg_85,Bucket_avg_85,Liebmann_avg_85,CookBuckley_avg_85,Gurgiser_std_85,Climandes_std_85,Garcia_std_85,FP_std_85,JD_std_85,Bucket_std_85,Liebmann_std_85,CookBuckley_std_85
2019,79,52,46,51,57,80,73,107,34,30,28,27,28,23,31,33,78,42,51,57,53,76,72,102,34,24,28,29,21,25,29,32
2020,90,50,49,56,60,81,79,101,32,27,26,27,31,24,29,26,97,50,45,51,49,72,68,105,47,33,24,35,25,25,35,38
2021,91,45,43,55,57,77,76,107,36,35,20,33,24,22,32,27,87,43,43,51,48,75,70,100,47,21,23,32,20,26,31,32
2022,69,40,49,53,55,81,67,102,33,19,21,32,19,27,33,38,83,36,44,44,48,66,72,106,42,19,25,25,22,24,33,25
2023,82,43,42,47,52,69,65,109,39,25,20,24,26,24,28,36,84,44,52,52,57,79,65,111,32,28,26,38,27,30,34,36
2024,85,63,47,59,55,75,72,104,43,36,24,36,27,20,35,30,77,49,51,53,56,73,70,102,37,29,28,28,26,25,27,31
2025,99,47,48,48,60,74,70,108,44,39,32,28,36,24,30,36,73,40,40,44,48,67,62,103,40,20,16,28,25,25,30,35
2026,81,46,44,53,58,77,70,109,44,32,30,38,29,32,36,32,86,54,49,55,60,79,72,104,44,37,35,37,26,25,31,33
2027,81,50,48,52,62,79,74,101,42,31,26,27,27,24,31,29,84,45,51,53,57,72,69,110,51,31,28,32,28,22,30,31
2028,75,40,47,42,54,73,68,101,35,25,21,22,24,19,34,33,86,49,54,52,55,69,69,93,32,29,27,24,22,20,25,26
2029,88,55,47,55,56,74,76,105,30,34,32,37,30,29,29,33,79,47,44,51,56,71,69,105,37,36,21,30,27,23,34,26
2030,97,51,41,59,61,78,74,99,37,30,17,29,27,22,30,28,86,42,39,46,45,61,66,118,47,33,18,33,19,19,28,33
2031,84,38,40,47,48,65,69,107,38,18,12,28,19,21,34,31,79,40,40,45,52,69,62,115,39,22,19,21,22,21,27,36
2032,90,55,46,51,57,72,74,106,36,35,21,25,26,20,28,32,78,47,49,48,51,75,79,111,45,31,30,27,25,23,31,34
2033,98,52,42,57,54,77,72,105,35,29,20,27,20,20,26,38,99,48,39,56,49,78,70,109,45,31,17,30,23,23,26,29
2034,92,56,48,57,56,67,64,115,38,39,28,33,30,23,29,33,80,49,47,50,50,73,71,111,46,40,33,38,27,29,33,31
2035,88,47,43,59,50,70,70,118,40,34,24,34,21,24,35,37,87,63,51,51,62,79,75,103,35,39,26,27,26,24,29,30
2036,89,54,54,57,55,81,81,101,36,31,34,31,24,26,31,30,90,48,45,47,49,67,76,108,39,30,18,22,17,21,34,25
2037,93,64,53,60,55,72,73,99,32,35,22,24,23,23,25,27,79,51,57,60,53,80,66,111,44,33,33,36,22,29,32,38
2038,76,40,44,45,44,68,71,112,41,29,26,28,20,22,38,33,82,47,47,47,54,74,73,107,37,25,26,30,25,24,32,34
2039,80,48,48,45,48,69,59,105,42,35,24,24,20,20,27,33,88,50,54,50,50,73,71,111,48,26,22,29,18,19,31,38
2040,83,49,43,53,50,72,69,98,42,34,21,27,19,24,28,40,91,53,42,55,57,77,75,110,39,42,22,31,28,25,32,34
2041,94,60,55,54,53,74,74,105,39,32,24,29,17,22,34,28,87,49,44,46,51,76,74,108,43,29,23,29,25,27,27,22
2042,88,39,44,51,51,68,77,109,29,22,24,27,22,25,25,22,93,57,50,54,52,71,78,106,43,42,31,31,23,23,31,32
